endpoint_margin,beta_sign,theta0_ref,alpha,beta,beta_for_prb,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,tip_error_percent,slope_error_percent,delta_theta_norm,branch_jump_flag
0.02,1,0.31142481308897385,0.021142078002360013,0.2908063135653008,0.2908063135653008,1.0,1.5707963267948966,0.9833708412624931,0.15787701934131046,0.09349203042287368,0.10482347970661851,0.11505428385574291,0.9833264453668089,0.157721726915035,0.3133697939852351,True,1.2815744444133687e-15,0.01615138793172864,0.6245426871960883,0.012102024332514453,False
0.02,1,0.3322408711667577,0.023876149690213552,0.3090381833380047,0.3090381833380047,1.0,1.5707963267948966,0.9810512494850955,0.16844280901050612,0.10003075609385281,0.11186561783961889,0.12240484180064025,0.980999891047365,0.1682944737462781,0.334301215734112,True,1.8013347191190246e-15,0.01569746468055224,0.6201357948884447,0.012098650544001707,False
0.02,1,0.3530569292445416,0.026757196282187503,0.3271525410702934,0.3271525410702934,1.0,1.5707963267948966,0.9785791264471726,0.1789917156787759,0.10660000498851513,0.11891046800546966,0.12972036207196985,0.9785202295408348,0.17885197476250908,0.35523083506595465,True,2.407546211524885e-15,0.015164553819762278,0.6157380414724405,0.012095527344417193,False
0.02,1,0.37387298732232543,0.029783003735023256,0.34515505927060236,0.34515505927060236,1.0,1.5707963267948966,0.9759545994235168,0.18952053440621663,0.11319891320780001,0.12595769695710932,0.1370020370098925,0.9758875792541464,0.18939095167430245,0.37615864717480185,True,3.3051285367689413e-15,0.014588827064841575,0.6113466150219332,0.012092634761909603,False
0.02,1,0.3946890454001093,0.03295157189664193,0.36305135667914495,0.36305135667914495,1.0,1.5707963267948966,0.9731778670554986,0.2000260799519688,0.11982664727317469,0.13300696655329916,0.14425103222443378,0.9731021304564701,0.19990815004195084,0.39708464605090765,True,4.318111085831334e-15,0.0140155257158793,0.6069589918235146,0.012089954189389506,False
0.02,1,0.4155051034778931,0.03626110943270329,0.38084700042249664,0.38084700042249664,1.0,1.5707963267948966,0.9702491986903606,0.21050518778590357,0.12648240312198328,0.14005793381091808,0.15146848778500832,0.9701641444917624,0.21040034013205644,0.4180088247179097,True,5.5964491534903614e-15,0.013500832276731604,0.6025729212613117,0.012087468302164528,False
0.02,1,0.43632116155567696,0.039710029082680814,0.3985475082480422,0.3985475082480422,1.0,1.5707963267948966,0.9671689337069155,0.22095471509707165,0.13316540513601063,0.1471102509378834,0.15865551937973674,0.9670739529801076,0.2208643177703199,0.4389311754536308,True,7.259873912822375e-15,0.013112213828649771,0.5981864112774169,0.012085160980409269,False
0.02,1,0.4571372196334608,0.04329694324213534,0.4161583508335996,0.4161583508335996,1.0,1.5707963267948966,0.9639374808280844,0.23137154179861258,0.13987490520236537,0.15416356534706133,0.16581321944584698,0.9638319570086995,0.23129690518989676,0.45985168999527365,True,9.146546632268953e-15,0.012925130489930355,0.593797714390731,0.012083017236250458,False
0.02,1,0.47795327771124463,0.047020659867945215,0.43368495416809294,0.43368495416809294,1.0,1.5707963267948966,0.9605553174207017,0.2417525715288366,0.1466101818057939,0.1612175196515048,0.1729426582724407,0.9604386263132634,0.2416949518747506,0.4807703597297394,True,1.14607339296927e-14,0.013014161168575173,0.5894053142568314,0.012081023145247699,False
0.02,1,0.4987693357890285,0.0508801787033852,0.4511327019996897,0.4511327019996897,1.0,1.5707963267948966,0.9570229887829605,0.25209473264818993,0.1533705391515487,0.16827175164133532,0.1800448850768969,0.9568944984506831,0.2520553353974857,0.5016871758697808,True,1.4030162071620221e-14,0.013439460127484773,0.5850079127531919,0.012079165782063956,False
